海	Bs	O
-	Sw	O
噁	Sy	O
唑	Sw	O
酮	Sg	O
(	Sw	O
A	Beng	O
O	Meng	O
Z	Eeng	O
)	Sw	O
、	Sw	O
5	Sw	O
-	Sw	O
吗	Bn	O
啉	En	O
甲	Bnz	O
基	Enz	O
-	Sw	O
3	Sw	O
-	Sw	O
氨	Bn	O
基	En	O
-	Sw	O
2	Sw	O
-	Sw	O
噁	Sy	O
唑	Sw	O
烷	Bn	O
基	En	O
酮	Sg	O
(	Sw	O
A	Beng	O
M	Meng	O
O	Meng	O
Z	Eeng	O
)	Sw	O
、	Sw	O
1	Sw	O
-	Sw	O
氨	Bn	O
基	En	O
-	Sw	O
乙	Bnz	O
内	Mnz	O
酰	Mnz	O
脲	Enz	O
(	Sw	O
A	Beng	O
H	Meng	O
D	Eeng	O
)	Sw	O
、	Sw	O
氨	Bnz	O
基	Mnz	O
脲	Enz	O
(	Sw	O
S	Beng	O
E	Meng	O
M	Eeng	O
)	Sw	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
9	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
9	Eeng	O

牛	Bn	O
肉	En	O
（	Sw	O
生	Svn	O
)	Sw	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
6	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
镇	Bns	I
海	Ens	I
庆	Svg	I
肉	Bn	I
铺	En	E

1	Bm	O
3	Mm	O
6	Mm	O
3	Mm	O
9	Mm	O
7	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
6	Mm	O
6	Em	O

氯	Bn	O
霉	Mn	O
素	En	O
、	Sw	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
、	Sw	O
莱	Bnrt	O
克	Enrt	O
多	Bnz	O
巴	Mnz	O
胺	Enz	O
、	Sw	O
沙	Bnz	O
丁	Mnz	O
胺	Mnz	O
醇	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
0	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
0	Eeng	O

羊	Bn	O
肉	En	O
（	Sw	O
生	Svn	O
）	Sw	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
7	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
镇	Bns	I
海	Ens	I
庆	Svg	I
肉	Bn	I
铺	En	E

1	Bm	O
3	Mm	O
6	Mm	O
3	Mm	O
9	Mm	O
7	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
6	Mm	O
6	Em	O

氯	Bn	O
霉	Mn	O
素	En	O
、	Sw	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
、	Sw	O
莱	Bnrt	O
克	Enrt	O
多	Bnz	O
巴	Mnz	O
胺	Enz	O
、	Sw	O
沙	Bnz	O
丁	Mnz	O
胺	Mnz	O
醇	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
1	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
1	Eeng	O

鸡	Bn	O
蛋	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
8	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

铅	Sn	O
、	Sw	O
总	Sb	O
砷	Sn	O
、	Sw	O
总	Sb	O
汞	Sn	O
、	Sw	O
七	Bnz	O
氯	Enz	O
、	Sw	O
艾	Bnr	O
氏	Enr	O
剂	Sng	O
、	Sw	O
狄	Bnr	O
氏	Enr	O
剂	Sng	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
2	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
2	Eeng	O

茄	Bn	O
王	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
9	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
3	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
3	Eeng	O

圆	Bn	O
茄	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
0	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
4	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
4	Eeng	O

子	Bn	O
茄	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
1	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
5	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
5	Eeng	O

韭	Bn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
2	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
6	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
6	Eeng	O

大	Bb	O
葱	Eb	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
3	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
7	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
7	Eeng	O

绿	Bz	O
大	Mz	O
辣	Ez	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
4	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
8	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
8	Eeng	O

蒜	Bn	O
苗	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
5	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

4	Bm	O
9	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
5	Meng	O
9	Eeng	O

青	Bn	O
椒	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
6	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
0	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
0	Eeng	O

小	Bb	O
葱	Eb	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
7	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
1	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
1	Eeng	O

红	Bn	O
尖	Mn	O
椒	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
8	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
2	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
2	Eeng	O

大	Bn	O
白	Mn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
0	Meng	O
9	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
基	Enz	O
异	Svg	O
柳	Sn	O
磷	Sn	O
、	Sw	O
阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
啶	Sw	O
虫	Sn	O
脒	Sg	O
、	Sw	O
氟	Bnz	O
虫	Enz	O
腈	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
甲	Bnz	O
基	Mnz	O
对	Mnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
3	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
3	Eeng	O

龙	Bn	O
豆	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
1	Meng	O
0	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
乐	Bn	O
果	En	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
4	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
4	Eeng	O

油	Bn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
1	Meng	O
1	Eeng	O

祁	Bns	B
连	Mns	I
县	Ens	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
对	Bnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
5	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
5	Eeng	O

油	Bn	O
麦	En	O
菜	Sn	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
1	Meng	O
2	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
对	Bnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
6	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
6	Eeng	O

上	Bns	O
海	Ens	O
青	Sns	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
1	Meng	O
3	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
基	Enz	O
异	Svg	O
柳	Sn	O
磷	Sn	O
、	Sw	O
阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
啶	Sw	O
虫	Sn	O
脒	Sg	O
、	Sw	O
氟	Bnz	O
虫	Enz	O
腈	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
甲	Bnz	O
基	Mnz	O
对	Mnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
7	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
7	Eeng	O

菠	Bn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
1	Meng	O
4	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
对	Bnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

5	Bm	O
8	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
6	Meng	O
8	Eeng	O

鸡	Bn	O
腿	Mn	O
菇	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
4	Meng	O
1	Meng	O
5	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
玉	Bn	I
花	En	I
张	Bns	I
掖	Ens	I
蔬	Bn	I
菜	En	I
门	Bn	I
市	Mn	I
部	En	E

1	Bm	O
5	Mm	O
1	Mm	O
9	Mm	O
3	Mm	O
4	Mm	O
4	Mm	O
1	Mm	O
8	Mm	O
4	Mm	O
6	Em	O

荧	Bn	O
光	En	O
增	Bv	O
白	Ev	O
物	Bn	O
质	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
甲	Bnz	O
基	Mnz	O
对	Mnz	O
硫	Mnz	O
磷	Enz	O
、	Sw	O
杀	Sv	O
